school_type,average_act
Regular School,22.5213675213675
Regular School,20.6
Regular School,16.7338217338217
Regular School,21.6178266178266
Regular School,18.3455433455433
Regular School,16.7338217338217
Regular School,19.957264957265
Regular School,22.3992673992674
Regular School,22.8
Regular School,17.1978021978022
Regular School,23.0
Regular School,20.3724053724054
Regular School,20.7
Regular School,24.4
Regular School,17.6617826617827
Regular School,19.4
Regular School,22.4
Regular School,18.3699633699634
Regular School,19.8107448107448
Regular School,15.4639804639805
Regular School,21.4
Regular School,23.4493284493284
Regular School,17.9
Regular School,22.1550671550672
Regular School,22.0
Regular School,23.009768009768
Regular School,20.7826617826618
Regular School,20.6
Regular School,16.8070818070818
Regular School,19.029304029304
Regular School,17.3931623931624
Regular School,18.4676434676435
Regular School,19.5177045177045
Regular School,20.6
Regular School,20.5
Regular School,23.1
Regular School,17.8
Regular School,19.1269841269841
Regular School,20.006105006105
Regular School,19.6153846153846
Regular School,21.5
Regular School,20.2991452991453
Regular School,22.4
Regular School,22.1062271062271
Regular School,19.2490842490842
Regular School,20.5677655677656
Regular School,17.7
Regular School,22.6923076923077
Regular School,22.3504273504273
Regular School,22.4725274725275
Regular School,20.0
Regular School,12.6068376068376
Regular School,17.9
Regular School,20.0
Regular School,22.0
Regular School,15.2686202686203
Regular School,23.0
Special Education School,19.8
Regular School,22.3
Regular School,17.7106227106227
Regular School,24.0
Regular School,22.0
Regular School,15.976800976801
Regular School,16.3
Regular School,23.6
Regular School,21.7155067155067
Regular School,19.5
Regular School,17.3199023199023
Regular School,25.2808302808303
Regular School,20.2747252747253
Regular School,15.4
Regular School,19.0
Regular School,21.4713064713065
Regular School,17.9
Regular School,22.2283272283272
Regular School,23.7179487179487
Regular School,22.0
Regular School,19.8107448107448
Regular School,23.0
Regular School,23.1562881562882
Regular School,20.4481074481074
Regular School,18.1746031746032
Regular School,24.3772893772894
Regular School,22.4481074481074
Regular School,21.3247863247863
Regular School,18.9072039072039
Regular School,24.5238095238095
Career and Technical School,14.8
Regular School,14.6825396825397
Regular School,18.8339438339438
Regular School,22.8876678876679
Regular School,20.1037851037851
Regular School,20.7
Regular School,19.2
Regular School,17.0
Regular School,15.7326007326007
Regular School,19.9
Regular School,26.0
Regular School,20.1037851037851
Regular School,15.6837606837607
Regular School,20.030525030525
Regular School,21.2515262515263
Regular School,22.0
Regular School,17.4
Regular School,23.1074481074481
Regular School,21.01221001221
Regular School,19.8107448107448
Regular School,15.8791208791209
Regular School,21.4713064713065
Regular School,20.6776556776557
Regular School,20.1037851037851
Regular School,20.2
Regular School,23.6
Regular School,27.3809523809524
Regular School,25.8424908424908
Regular School,20.1282051282051
Regular School,20.3968253968254
Regular School,22.7411477411477
Regular School,22.7411477411477
Regular School,15.9
Regular School,21.4713064713065
Regular School,22.0
Regular School,16.3919413919414
Regular School,19.2
Regular School,18.3
Regular School,18.2
Regular School,20.6654456654457
Regular School,21.8864468864469
Regular School,22.0
Regular School,20.3724053724054
Regular School,19.9084249084249
Regular School,21.8
Regular School,22.0
Regular School,24.4505494505495
Regular School,24.4017094017094
Regular School,20.4456654456654
Regular School,21.4468864468864
Regular School,22.8
Regular School,15.9035409035409
Regular School,20.4212454212454
Regular School,20.8
Regular School,15.4151404151404
Regular School,20.2
Regular School,20.8
Regular School,15.5
Regular School,20.0
Regular School,18.2
Regular School,13.7301587301587
Regular School,22.5946275946276
Regular School,21.5
Regular School,23.2
Regular School,23.0
Regular School,19.0
Regular School,20.9
Regular School,17.0
Regular School,23.7
Regular School,18.997557997558
Regular School,19.5
Regular School,18.6874236874237
Regular School,18.5
Regular School,19.0781440781441
Regular School,25.989010989011
Regular School,22.030525030525
Regular School,17.5152625152625
Regular School,21.1758241758242
Regular School,19.7863247863248
Regular School,20.7
Regular School,20.1282051282051
Regular School,22.6
Regular School,22.0
Regular School,22.8632478632479
Regular School,19.3
Regular School,17.2466422466422
Regular School,22.7
Regular School,19.9
Regular School,23.0
Regular School,24.2307692307692
Regular School,20.2258852258852
Regular School,19.6
Regular School,21.9352869352869
Regular School,26.4529914529915
Regular School,22.9
Regular School,24.8656898656899
Regular School,16.3186813186813
Regular School,20.0
Regular School,20.8852258852259
Regular School,22.5213675213675
Regular School,20.9
Regular School,21.5
Regular School,16.3919413919414
Regular School,23.1074481074481
Regular School,19.029304029304
Regular School,19.7
Regular School,22.0
Regular School,18.4188034188034
Regular School,14.7
Regular School,24.4
Regular School,18.8
Regular School,17.4
Regular School,24.2063492063492
Regular School,22.032967032967
Regular School,21.6910866910867
Regular School,19.1025641025641
Regular School,21.7
Regular School,14.4
Regular School,16.9291819291819
Regular School,16.4163614163614
Regular School,21.3980463980464
Regular School,24.0
Regular School,19.7
Regular School,20.8363858363858
Regular School,24.0
Regular School,20.7631257631258
Regular School,22.5
Regular School,15.9279609279609
Regular School,15.6
Regular School,21.4468864468864
Regular School,16.4
Regular School,21.3
Regular School,15.7
Regular School,21.4468864468864
Regular School,20.3968253968254
Regular School,20.0
Regular School,24.4749694749695
Regular School,22.0
Regular School,20.4212454212454
Regular School,19.2
Regular School,22.960927960928
Regular School,20.0
Regular School,18.0769230769231
Regular School,21.959706959707
Regular School,22.8144078144078
Regular School,17.6617826617827
Regular School,16.0989010989011
Regular School,23.1318681318681
Regular School,20.7387057387057
Regular School,15.2442002442002
Regular School,19.0
Regular School,21.8864468864469
Regular School,21.1050061050061
Regular School,19.8107448107448
Regular School,21.031746031746
Regular School,20.6
Regular School,16.4
Regular School,19.1
Regular School,19.4932844932845
Regular School,19.8595848595849
Regular School,23.6935286935287
Regular School,21.0561660561661
Regular School,15.1709401709402
Regular School,20.5189255189255
Regular School,20.2503052503052
Regular School,21.7643467643468
Regular School,19.957264957265
Regular School,18.7
Regular School,23.0
Regular School,24.3
Regular School,19.4
Regular School,23.0
Regular School,18.0
Regular School,18.5
Regular School,21.6910866910867
Regular School,16.6
Regular School,15.7570207570208
Regular School,21.3
Regular School,21.8
Regular School,17.7
Regular School,17.7838827838828
Regular School,18.7
Regular School,19.2
Regular School,18.028083028083
Regular School,21.3980463980464
Regular School,20.6
Regular School,21.4713064713065
Regular School,20.2
Regular School,21.031746031746
Regular School,22.6190476190476
Regular School,21.0
Regular School,21.5
Regular School,18.956043956044
Regular School,21.2759462759463
Regular School,22.3015873015873
Regular School,19.2
Regular School,17.6
Regular School,21.959706959707
Regular School,15.8
Regular School,21.0
Regular School,16.7582417582418
Regular School,21.4468864468864
Regular School,32.3626373626374
Regular School,17.6
Regular School,23.3760683760684
Regular School,14.3894993894994
Regular School,20.5433455433455
Regular School,19.1
Regular School,21.1050061050061
Regular School,22.9
Regular School,18.1
Regular School,17.0512820512821
Regular School,20.0
Regular School,20.0549450549451
Regular School,19.9
Regular School,18.2722832722833
Regular School,19.4932844932845
Regular School,19.1
Regular School,19.2735042735043
Regular School,20.6166056166056
Regular School,20.2063492063492
Regular School,21.4224664224664
Regular School,17.1733821733822
Regular School,19.6886446886447
Regular School,21.2
Regular School,21.6178266178266
Regular School,21.0
Regular School,20.9047619047619
Regular School,21.0
Regular School,15.9279609279609
Regular School,19.0
Regular School,23.8156288156288
Regular School,17.7
Regular School,22.1794871794872
Regular School,19.2
Regular School,19.1758241758242
Regular School,17.9
Regular School,21.4
Regular School,22.0
Regular School,21.7887667887668
Regular School,19.2
Regular School,20.0
Regular School,20.0
Regular School,18.0
Regular School,19.4688644688645
